type,msg,x,degree,numTerms,blMod,t0,buildTask,publishTaskIPFS,publishTaskETH,workerPullTask,workerProcessTask,workerSubmitResultIPFS,workerSubmitResultETH,userTriggerVerify,userVerify,oracleVerify,invokeVerification,gasUsed
MULTIVAR,test,2,64,32,1024,333478034180943,43210,0,0,0,1377973,13121,0,0,0,6458,89556692,87489
MULTIVAR,test,2,64,32,1024,333478129816750,44341,0,0,0,1460195,14514,0,0,0,5913,108652575,84843
MULTIVAR,test,2,64,32,1024,333478244724356,39564,0,0,0,1062559,33631,0,0,0,11387,295885138,150410
MULTIVAR,test,2,64,32,1024,333478546713630,47048,0,0,0,1451005,14389,0,0,0,9715,129675245,112717
MULTIVAR,test,2,64,32,1024,333478682851568,42856,0,0,0,996970,10771,0,0,0,6303,98444768,96298
MULTIVAR,test,2,64,32,1024,333478787147247,41424,0,0,0,1333222,23604,0,0,0,8605,158411383,133656
MULTIVAR,test,2,64,32,1024,333478951742715,42067,0,0,0,1597736,21270,0,0,0,7486,153907352,83718
MULTIVAR,test,2,64,32,1024,333479112314433,43954,0,0,0,1148460,12318,0,0,0,4912,112888049,83526
MULTIVAR,test,2,64,32,1024,333479232823703,68559,0,0,0,1033157,16644,0,0,0,7506,100340079,96424
MULTIVAR,test,2,64,32,1024,333479339099563,54225,0,0,0,1435480,13334,0,0,0,9068,298043300,171099
MULTIVAR,test,2,64,32,1024,333479643758276,54159,0,0,0,1504423,17004,0,0,0,7883,129285255,100099
MULTIVAR,test,2,64,32,1024,333479780425535,47623,0,0,0,1344155,20836,0,0,0,8387,120465861,103710
MULTIVAR,test,2,64,32,1024,333479907259452,46961,0,0,0,1507324,24807,0,0,0,6090,104492584,88924
MULTIVAR,test,2,64,32,1024,333480018097585,46136,0,0,0,1119002,9754,0,0,0,10473,159233663,116532
